id,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories,female,male,wep,activity_category
1,male,58,187,87,23,111,40.8,190,False,True,138,7
2,male,39,165,69,30,108,41.0,195,False,True,150,7
3,female,60,152,54,3,86,38.5,14,True,False,12,5
4,male,22,188,80,11,86,40.1,28,False,True,44,5
5,male,41,178,87,15,83,40.3,48,False,True,60,5
6,female,37,161,60,26,99,41.1,144,True,False,130,5
7,male,23,196,90,14,93,40.3,55,False,True,70,5
8,female,28,159,55,24,106,41.0,149,True,False,120,7
9,female,24,168,60,3,89,38.8,13,True,False,12,5
10,female,49,164,66,23,101,40.5,135,True,False,115,7
11,female,63,175,73,23,106,40.6,151,True,False,115,7
12,male,72,202,111,20,94,40.5,137,False,True,100,5
13,male,25,186,90,1,84,37.9,3,False,True,4,5
14,female,70,154,57,4,81,38.7,17,True,False,16,5
15,female,22,165,64,15,93,40.3,69,True,False,75,5
16,female,24,175,73,11,87,39.8,42,True,False,44,5
17,female,73,167,67,2,86,38.4,9,True,False,8,5
18,female,38,156,56,19,93,40.3,94,True,False,95,5
19,male,68,192,97,24,98,40.5,168,False,True,120,5
20,male,50,177,79,21,96,40.5,114,False,True,105,5
21,female,21,159,50,11,86,40.1,44,True,False,44,5
22,male,32,187,90,12,89,40.2,45,False,True,48,5
23,male,37,213,110,29,112,40.9,228,False,True,174,7
24,male,25,175,78,8,92,39.5,29,False,True,40,5
25,male,39,190,96,30,109,40.6,217,False,True,150,7
26,male,47,183,91,20,94,40.5,105,False,True,100,5
27,male,27,184,92,2,85,37.9,6,False,True,8,5
28,female,38,155,59,28,115,40.4,204,True,False,168,7
29,female,20,168,64,12,96,39.8,58,True,False,60,5
30,female,68,166,64,3,77,38.3,11,True,False,12,0
31,female,42,166,63,11,80,40.2,39,True,False,44,5
32,female,24,169,67,23,112,40.4,152,True,False,138,7
33,male,67,183,89,24,107,40.7,195,False,True,120,7
34,female,41,148,54,16,101,40.5,94,True,False,80,7
35,female,50,168,61,2,89,38.1,9,True,False,8,5
36,female,20,157,56,26,103,40.4,149,True,False,130,7
37,female,78,183,79,20,104,40.4,131,True,False,100,7
38,male,21,197,98,18,102,39.8,96,False,True,90,7
39,male,29,197,92,22,97,40.8,107,False,True,110,5
40,female,25,178,71,5,94,39.2,23,True,False,25,5
41,male,76,188,93,30,105,41.2,250,False,True,150,7
42,male,76,192,103,25,100,40.4,195,False,True,125,7
43,male,67,173,78,4,95,38.7,24,False,True,20,5
44,male,20,181,80,27,100,40.8,124,False,True,135,7
45,male,22,182,86,4,88,38.9,12,False,True,16,5
46,male,28,182,87,29,104,40.8,167,False,True,145,7
47,female,51,167,63,26,112,41.0,185,True,False,156,7
48,female,21,163,62,14,91,39.9,61,True,False,70,5
49,male,51,185,90,15,99,40.4,92,False,True,75,5
50,male,34,191,91,27,115,40.7,210,False,True,162,7
51,male,74,180,86,9,88,39.7,50,False,True,36,5
52,male,39,187,87,24,104,41.0,151,False,True,120,7
53,male,35,174,78,29,102,41.0,162,False,True,145,7
54,female,23,168,66,7,91,39.6,30,True,False,35,5
55,female,76,155,55,22,100,40.8,141,True,False,110,7
56,male,39,192,91,18,92,40.5,82,False,True,90,5
57,female,42,169,69,13,94,39.6,65,True,False,65,5
58,female,21,168,58,5,87,39.3,20,True,False,20,5
59,male,29,197,94,29,111,40.8,203,False,True,174,7
60,female,37,160,59,9,95,39.9,46,True,False,45,5
61,female,45,165,63,9,93,39.8,45,True,False,45,5
62,female,56,169,61,20,103,40.2,126,True,False,100,7
63,female,34,186,72,17,99,40.6,90,True,False,85,5
64,female,48,183,71,26,104,40.6,159,True,False,130,7
65,female,50,164,63,13,102,40.0,79,True,False,65,7
66,male,79,170,75,18,95,40.6,119,False,True,90,5
67,male,24,170,68,15,94,40.1,54,False,True,75,5
68,female,69,172,73,19,103,40.2,121,True,False,95,7
69,female,73,160,59,9,87,39.7,44,True,False,36,5
70,female,30,164,61,5,79,38.8,16,True,False,20,0
71,female,70,149,51,28,98,40.6,172,True,False,140,5
72,male,78,177,86,23,100,40.8,173,False,True,115,7
73,male,50,180,83,29,116,41.2,247,False,True,174,7
74,male,29,169,68,15,92,40.6,54,False,True,75,5
75,female,28,171,68,4,85,39.0,15,True,False,16,5
76,male,25,184,85,22,99,40.4,106,False,True,110,5
77,male,49,173,79,27,109,40.8,198,False,True,135,7
78,male,27,189,86,5,87,39.2,16,False,True,20,5
79,female,32,163,60,11,100,39.4,61,True,False,55,7
80,male,42,184,83,30,110,41.1,217,False,True,180,7
81,female,43,179,77,2,83,37.9,7,True,False,8,5
82,male,47,177,80,27,104,40.8,176,False,True,135,7
83,female,29,174,75,14,95,40.1,67,True,False,70,5
84,male,36,186,84,19,97,40.5,95,False,True,95,5
85,female,24,152,55,10,94,40.0,48,True,False,50,5
86,female,47,173,67,2,86,38.1,8,True,False,8,5
87,male,51,192,96,19,97,40.6,114,False,True,95,5
88,female,36,154,59,5,87,39.3,21,True,False,20,5
89,female,25,165,66,24,104,40.6,139,True,False,120,7
90,male,20,182,81,3,89,38.4,9,False,True,12,5
91,male,67,189,97,22,103,40.7,169,False,True,110,7
92,female,23,186,74,19,112,40.6,123,True,False,114,7
93,female,22,169,68,16,94,40.3,74,True,False,80,5
94,male,27,190,90,28,106,40.4,170,False,True,140,7
95,male,51,201,98,24,96,40.3,141,False,True,120,5
96,female,66,155,62,19,99,40.5,114,True,False,95,5
97,male,47,191,98,29,116,40.8,252,False,True,174,7
98,male,54,188,87,21,104,40.3,147,False,True,105,7
99,female,31,160,62,13,92,40.1,61,True,False,65,5
100,female,48,156,54,23,106,40.4,151,True,False,115,7
101,male,69,183,92,8,90,39.6,46,False,True,40,5
102,male,22,181,85,15,96,40.1,63,False,True,75,5
103,male,21,178,77,13,97,40.0,54,False,True,65,5
104,male,70,192,93,29,114,40.8,273,False,True,174,7
105,female,20,164,62,10,85,40.0,37,True,False,40,5
106,male,27,172,71,13,96,40.2,54,False,True,65,5
107,male,37,190,87,8,92,39.4,35,False,True,40,5
