id,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,female,male,wep,activity_category
10001,female,66,171,65,28,96,40.6,True,False,140,5
10002,female,63,182,85,6,91,39.4,True,False,30,5
10003,female,48,175,75,11,92,40.0,True,False,55,5
10004,male,35,190,87,14,91,39.9,False,True,70,5
10005,female,49,148,54,29,101,40.8,True,False,145,7
10006,male,24,185,89,20,109,40.6,False,True,100,7
10007,male,31,192,89,6,79,39.0,False,True,24,0
10008,female,62,178,73,16,93,40.5,True,False,80,5
10009,female,51,132,41,6,86,39.2,True,False,24,5
10010,female,62,163,62,3,84,38.3,True,False,12,5
10011,female,64,167,69,12,95,40.3,True,False,60,5
10012,male,56,177,84,12,90,40.1,False,True,60,5
10013,male,31,182,80,28,107,41.1,False,True,140,7
10014,female,41,163,57,7,87,38.9,True,False,28,5
10015,female,26,163,57,11,97,39.8,True,False,55,5
10016,female,43,164,61,2,81,37.8,True,False,8,5
10017,female,76,170,71,28,116,40.4,True,False,168,7
10018,male,44,178,80,23,108,41.1,False,True,115,7
10019,male,22,179,80,26,101,40.9,False,True,130,7
10020,male,68,178,78,10,90,40.1,False,True,50,5
10021,female,78,159,59,8,88,39.8,True,False,32,5
10022,male,40,180,88,9,94,39.5,False,True,45,5
10023,female,31,163,62,4,88,39.1,True,False,16,5
10024,female,33,147,51,14,84,39.9,True,False,56,5
10025,male,28,196,90,17,100,40.3,False,True,85,7
10026,male,73,169,71,26,104,40.6,False,True,130,7
10027,male,20,180,87,7,82,39.6,False,True,28,5
10028,male,35,176,83,16,102,40.2,False,True,80,7
10029,male,43,202,104,19,100,40.7,False,True,95,7
10030,male,51,178,85,11,90,40.0,False,True,55,5
10031,female,26,160,58,14,95,39.9,True,False,70,5
10032,male,32,179,83,3,86,38.7,False,True,12,5
10033,female,34,155,55,28,108,40.9,True,False,140,7
10034,male,34,175,76,15,92,40.3,False,True,75,5
10035,male,70,185,83,1,74,38.1,False,True,4,0
10036,male,24,179,74,16,102,40.3,False,True,80,7
10037,female,30,148,46,29,111,40.8,True,False,174,7
10038,male,37,177,81,9,87,39.6,False,True,36,5
10039,male,39,168,70,22,100,40.7,False,True,110,7
10040,female,59,159,65,29,105,40.9,True,False,145,7
10041,male,32,168,73,30,111,40.7,False,True,180,7
10042,female,21,170,67,17,95,40.0,True,False,85,5
10043,female,68,162,63,9,93,39.5,True,False,45,5
10044,male,37,167,73,25,103,40.9,False,True,125,7
10045,male,47,182,84,18,96,40.4,False,True,90,5
10046,female,22,169,66,6,83,38.9,True,False,24,5
10047,male,38,176,79,3,92,38.5,False,True,15,5
10048,male,46,184,85,16,96,40.5,False,True,80,5
10049,male,44,188,88,24,106,40.7,False,True,120,7
10050,male,38,186,88,17,94,39.8,False,True,85,5
10051,male,63,190,91,5,86,39.1,False,True,20,5
10052,female,57,163,61,22,101,40.8,True,False,110,7
10053,male,42,198,101,20,100,40.3,False,True,100,7
10054,male,45,183,85,17,100,40.2,False,True,85,7
10055,male,62,190,95,11,93,40.1,False,True,55,5
10056,female,56,165,61,29,106,41.1,True,False,145,7
10057,male,31,184,86,17,83,40.6,False,True,68,5
10058,male,27,193,92,25,111,40.6,False,True,150,7
10059,female,35,161,58,9,84,39.6,True,False,36,5
10060,male,39,176,83,11,91,40.1,False,True,55,5
10061,female,35,132,38,30,112,40.5,True,False,180,7
10062,female,75,168,65,21,104,40.3,True,False,105,7
10063,female,23,166,59,2,82,38.1,True,False,8,5
10064,female,38,176,76,17,99,40.1,True,False,85,5
10065,male,58,183,92,29,108,40.9,False,True,145,7
10066,male,31,166,70,3,89,38.8,False,True,12,5
