id,Calories
10001,160.75
10002,28.47
10003,51.85
10004,57.72
10005,177.46
10006,124.75
10007,13.84
10008,81.94
10009,27.3
10010,12.67
10011,64.18
10012,59.71
10013,170.93
10014,29.67
10015,56.18
10016,7.07
10017,222.57
10018,155.34
10019,122.28
10020,54.54
10021,39.48
10022,44.08
10023,16.25
10024,54.53
10025,86.75
10026,195.35
10027,15.2
10028,89.28
10029,116.57
10030,52.38
10031,69.0
10032,9.84
10033,183.45
10034,60.02
10035,3.69
10036,78.25
10037,200.29
10038,31.92
10039,113.81
10040,191.21
10041,199.03
10042,81.22
10043,47.97
10044,139.51
10045,96.81
10046,20.77
10047,13.74
10048,85.95
10049,159.43
10050,80.39
10051,24.38
10052,136.04
10053,120.0
10054,98.81
10055,65.63
10056,192.93
10057,46.55
10058,169.28
10059,34.57
10060,47.24
10061,213.88
10062,142.06
10063,6.8
10064,91.79
10065,225.44
10066,10.01
10067,214.92
10068,11.98
10069,143.19
10070,70.59
10071,67.66
10072,102.35
10073,151.04
10074,35.27
10075,92.78
10076,94.68
10077,135.46
10078,96.5
10079,139.28
10080,156.74
10081,130.94
10082,20.69
10083,8.05
10084,33.14
10085,21.18
10086,40.66
10087,167.57
10088,122.76
10089,77.93
10090,179.42
10091,9.86
10092,46.47
10093,21.77
10094,78.34
10095,96.35
10096,24.36
10097,129.77
10098,112.13
10099,4.06
10100,1.75
10101,105.41
10102,150.7
10103,58.71
10104,259.43
10105,96.13
10106,37.64
10107,9.9
10108,16.18
10109,25.45
10110,9.66
10111,45.03
10112,57.59
10113,154.3
10114,146.66
10115,67.4
10116,117.55
10117,48.49
10118,201.8
10119,151.99
10120,146.97
10121,30.07
10122,33.25
10123,22.3
10124,151.0
10125,86.31
10126,137.92
10127,144.53
10128,187.3
10129,186.74
10130,123.57
10131,55.03
10132,124.77
10133,45.82
10134,32.1
10135,105.99
10136,30.21
10137,11.11
10138,81.42
10139,109.17
10140,108.84
10141,166.45
10142,12.32
10143,47.28
10144,28.07
10145,168.84
10146,126.04
10147,111.92
10148,100.0
10149,55.45
10150,81.54
10151,6.49
10152,26.01
10153,160.35
10154,3.32
10155,116.38
10156,177.42
10157,193.06
10158,173.85
10159,41.71
